pr_gene_symbol,Erlotinib,Olaparib,Gemcitabine
ADH5,-0.57075214,-0.7445822,-1.0138998
COL4A1,-1.950243,-0.16271782,-0.026249886
CREB1,0.39123297,-0.28590775,3.4088998
CRK,-0.37213516,-0.05844164,0.21710014
CRKL,0.7528486,0.047740936,-0.28409958
PARP1,-0.6040087,-0.18920994,-0.009400368
CRYZ,-1.1471491,-0.13154507,-1.1307001
CSK,-0.5136585,-0.13343143,0.24125147
CSNK1A1,0.18149376,-0.19398928,0.38145018
CSNK1E,0.38380337,0.08394623,0.26399994
CSNK2A2,1.0731096,0.33366776,-0.30919933
CSRP1,-0.30501938,0.04354763,-0.14360046
WIPF2,0.05586815,-0.11557388,0.8181
TICAM1,-0.15208006,0.27574778,-0.19939995
CTNND1,1.072998,0.33406162,-1.1028996
CTSD,0.74965286,0.31890202,-1.0638008
CTSL,0.8266134,-0.13856316,-0.6767998
CYB561,0.21726322,0.14481354,-1.3414497
ADRB2,0.3865857,0.2264204,0.46469975
AARS,1.4655685,-0.044186592,0.67400074
DAG1,-0.12476063,-0.4744835,0.2507
DAXX,1.2792511,0.5111761,-0.59229994
DCK,-0.26728725,0.38165188,0.23285007
DCTD,-0.4902029,-0.19774055,0.13059998
DDB2,-0.29218006,-0.13453674,-0.008749962
GADD45A,0.81137276,0.006090164,1.7732
DDX10,-0.054382324,-0.22237301,0.9437504
DECR1,-0.17547035,-0.30959892,0.0
DFFA,1.1967225,0.21447897,-0.03214979
DFFB,0.34976006,0.15174866,0.39979982
DLD,-0.09369087,-0.032754898,-0.6417999
DNM1,-0.2716384,0.14449787,-0.4797001
AGL,0.00091171265,-0.3582964,-1.8773499
DNMT1,0.38568592,0.08506298,-0.03829956
DNMT3A,0.67681026,0.4619913,-0.17199993
DPH2,-0.43318748,-0.10013676,-0.17939949
DSG2,-0.7819519,-0.32911968,-0.54170036
TSC22D3,1.3791409,0.28477335,0.8568506
DUSP3,0.039198875,-0.50614643,-0.22359991
DUSP4,-0.13929081,-0.017047882,1.5489497
DUSP6,-0.8013191,-0.0876255,-0.090600014
TOR1A,0.24067307,-0.11707306,-0.40630054
E2F2,0.036609173,1.1875272,-5.3736997
ECH1,0.799284,-0.019903183,-1.2244997
EDN1,0.78563786,0.33040905,0.1013999
EGF,0.46266413,1.2205367,0.1338501
EGFR,-0.6266613,-0.09980583,0.6777005
EGR1,-0.9289932,-0.41827297,2.6848502
EIF4EBP1,0.4192648,-0.33572578,-0.19629955
EIF4G1,-0.2866435,-0.0060343742,0.87529993
EIF5,0.2559271,-0.057976723,1.9650993
ELAVL1,-0.50160646,-0.43770218,-0.26999998
TXLNA,-0.5907116,-0.031576157,0.38499928
SPRED2,0.07672787,0.31254482,-1.1733999
CTTN,-0.2955184,-0.49375916,-0.12460041
EPB41L2,-1.3308172,-0.39387035,0.4890995
EPHA3,0.39921093,0.25322056,-0.19045019
EPHB2,-1.1841531,-0.28380156,-0.1612997
EPRS,0.90986156,-0.14895916,-0.6748495
NR2F6,0.8731899,0.06333065,-1.5312996
ERBB2,0.22017479,-0.7629957,-1.1561003
ERBB3,0.44196844,-0.77227783,-0.019399643
AKT1,-0.70815754,-0.13444042,-0.18554974
ETFB,0.33815193,-0.057663918,-0.30010033
ALAS1,0.4150362,0.28717136,0.5609999
ETS1,0.42815113,0.45829487,3.2158003
ETV1,-0.19699192,-0.11711216,0.21119976
EXT1,1.3531761,0.67514896,-0.86730003
EZH2,-0.57599163,-0.22614574,2.2249994
FAH,0.1677599,-0.15374088,-0.3189497
PTK2B,0.31687927,0.16724491,-0.052900314
FAT1,-0.26640797,-0.13238049,-0.67840004
FDFT1,-0.45603657,0.008345604,-0.21615028
ALDOA,-0.66418743,-0.1184659,-0.2356
FGFR2,1.6746659,0.86526775,0.2665
FGFR4,0.17484665,0.293108,-0.06379986
FHL2,-0.7501602,-0.48873615,2.69205
CASC3,0.16139317,-0.12345123,0.28119946
COG2,0.35013485,0.21174526,0.0923996
ATF5,0.0046491623,-0.31314373,0.14009953
MTF2,-0.34293222,-0.03668022,0.8529997
PUF60,0.8768301,-0.09938812,-0.010400772
RAB11FIP2,0.19004202,0.029438972,0.46945
FKBP4,1.0958462,0.7639122,-1.6070995
CLSTN1,-0.35168934,-0.31451702,-0.7055006
FOXJ3,-0.5493164,-0.11597538,0.4229002
KIAA0907,-0.1119051,0.07704353,0.8034992
EPN2,0.06601238,0.07462692,-0.87409973
SACM1L,-0.24297047,-0.016903877,0.07210064
ATF6,0.3419962,-0.31452322,0.57874966
RPIA,-0.15827942,0.018102646,-1.3775997
ABCF1,0.30932808,0.19268417,-0.5959492
ALDOC,-0.13993025,0.09207487,0.069550514
RAB21,0.849597,-0.35091686,0.08034897
SPEN,-0.22760773,-0.07119274,-0.19124985
FBXO21,0.21766281,0.22912216,0.33220005
RBM34,-0.17345047,-0.96375656,0.19589996
WDTC1,0.45492935,-0.4212942,0.54485035
XPO7,0.015376091,0.13973713,-0.57040024
TBC1D9B,-0.077114105,-0.116882324,-0.9278002
RRP1B,-0.2960434,0.80848026,-0.14069939
MYCBP2,0.107679844,0.13795424,0.024149895
FOXO3,0.046222687,-0.2735014,1.5152998
CDK19,0.12242794,-0.65975237,-0.84590054
GPATCH8,-0.17063284,-0.30153704,0.6011505
MAST2,-0.070848465,-0.11121178,0.80139923
DCUN1D4,0.27361107,0.45365715,-0.24870014
FCHO1,0.76630926,0.45401382,-0.22084951
SNX13,1.1289387,0.10124397,-0.2000494
ATP11B,1.150362,-0.43260384,-0.8102999
JMJD6,-0.9173479,-0.26912308,1.3031006
RRS1,-0.24051094,0.08310461,-0.8965006
RRP12,-0.1266861,0.11823845,1.1827998
SYNE2,-0.50136185,-0.63615465,0.8508005
PDS5A,-0.21356106,-0.042113304,-0.24424934
CAMSAP2,1.1228733,0.78104115,-0.95575047
ATMIN,0.11778927,-0.306386,0.75230026
TRIM2,0.8581648,0.051573753,-0.6289997
KIAA1033,-0.10988426,0.96070385,0.6737499
USP22,-0.47118378,-0.19787121,0.3352003
WDR7,0.4038291,0.4652238,-0.5599003
JADE2,0.74859333,-0.33442354,-2.2996001
ARHGEF12,0.20827484,0.0134625435,-0.026199818
PPP1R13B,0.790946,0.49850607,-4.516051
RRP8,-0.5417237,-0.11012888,0.8861995
NUDCD3,-0.78843737,0.1507082,-0.45979977
SIRT3,0.25471497,0.12542963,-0.2678995
SLC35A3,-0.113838196,0.09504223,-0.4270501
ICMT,-0.3074627,-0.32256985,-0.29440022
MACF1,-0.6921072,-0.31711197,-0.7230997
SUZ12,-0.36867332,0.041772842,1.1611004
KAT6B,-0.72364473,0.016193867,0.52789974
FOS,0.3504386,0.25665236,4.7086997
NNT,-0.55420685,-0.19050264,0.16514921
ADAT1,0.54858494,0.69746494,-0.29500008
FPGS,-0.25370407,-0.2131567,-0.6083498
TMEM50A,-0.38193417,-0.019439697,0.16349983
KLHDC2,0.6109209,0.0668993,-1.8329
ACOT9,-0.7994585,-1.2706566,7.0670996
SSBP2,-0.54769516,-0.21014595,0.3498001
NUP62,-0.59904623,0.08519745,-0.12900114
ARFIP2,-0.41749763,-0.05938244,1.0074005
LSM5,-0.2628374,-0.008470535,7.3256006
PLA2G15,-0.17695856,-0.351264,0.18260002
TMEM2,-0.67833567,-0.1814022,1.4271998
ZNF318,-0.35955858,0.08760357,-0.5732999
ABL1,-0.11036587,-0.31829643,-3.0397
FUT1,1.4777617,0.5033512,-0.18354988
FYN,-0.14362574,-0.3082161,-2.6727505
SLC37A4,-0.6028633,-0.13724327,-0.9193001
GAA,0.043061256,-0.22827435,-0.043200016
GABPB1,-0.5400815,0.07345867,0.77269936
EML3,-0.48420382,-0.22198868,-0.32910013
FBXO7,-0.37220907,-0.1935358,-0.5627003
SPDEF,0.6732993,0.05479622,-0.036200523
BAMBI,-0.3851471,-0.19592094,1.3564501
GALE,-0.018027306,0.039032936,0.75619984
BACE2,0.045309067,0.483716,-0.7880001
COG4,-0.37742853,-0.27193928,0.65449953
MPC2,0.02406025,0.13274193,0.7084999
CLIC4,0.21505833,-0.088336945,-0.0777998
C2CD2,-0.15838528,-0.1420412,-1.0447001
GAPDH,-0.026602745,-0.6459465,0.0
TIPARP,0.5535641,0.8709116,2.9995995
TSKU,1.4143858,-0.21762466,-2.1193995
RNF167,-0.19992733,0.12188244,-0.60560036
LRP10,0.35984802,-0.058680534,0.08080006
ZNF451,-0.09658623,-0.053647995,0.8489504
SENP6,0.41209602,-0.068092346,0.032600403
RAI14,0.6488285,0.5549526,-1.5710001
KIF1BP,-0.425004,-0.11503792,-0.2880001
TES,0.5631771,0.08754158,0.39220047
PHGDH,1.2216587,-0.24773121,-0.8983002
GATA2,0.21529007,0.19455242,0.17505026
GATA3,0.20993042,0.30057192,0.33624983
MYCBP,-0.6338396,0.04452896,-0.6473999
CHIC2,-0.61246157,-0.5138321,2.117
TIMM9,0.74404335,0.041493416,0.2716999
GFPT1,0.84801054,0.0489192,0.43110085
GHR,-0.8970876,0.021098137,0.010449886
AKAP8L,0.56195116,0.42222214,0.65145016
ATP2C1,-0.108531,0.07619381,-0.40369987
TRAPPC3,-0.39369583,-0.076581955,-0.83479977
ATP5S,0.49589348,-0.4548664,-0.41289997
TNFRSF21,0.45127964,1.1579475,-1.9475994
SESN1,0.03885126,-0.13939095,-0.64869976
HTATSF1,0.58055496,0.07443428,-0.7965994
TMEM97,-0.40305805,0.2735262,-0.75669956
GLI2,0.277812,-0.015285015,0.12870026
GLRX,-0.6866932,0.21645832,-0.57925034
GNA11,-0.1868968,-0.27909613,-0.64605
GNA15,-0.044222355,-0.34203625,-0.11370039
GNAI1,-0.3937955,2.1499462,-4.84885
GNAI2,-0.6044264,-0.23463106,-0.5777497
GNAS,-2.1268206,-1.3768721,0.16330051
SFN,-1.3251629,-0.26311207,1.9791002
GPC1,0.5801978,-0.030000687,-0.27940083
GPER1,0.6453409,0.31520367,-0.22679996
GRB7,1.5740471,0.51001453,-0.43389988
GRB10,-0.27031898,-0.3045845,-0.41870022
GRN,-0.018390656,-0.16473675,-0.49169922
BZW2,0.4465704,0.055752754,-0.46899986
NR3C1,-0.2211175,-0.012637138,0.65600014
CHMP4A,0.31167793,-0.23840809,0.3565998
GTPBP8,1.6151733,0.057873726,-0.23740005
SLC25A4,0.15507412,0.183815,0.25300026
DNAJC15,0.41651058,-0.098002434,-0.37994957
CXCL2,-0.034358025,0.06724882,0.26744986
GSTM2,-0.06786847,0.51262546,-0.2989998
GSTZ1,0.42682076,-0.11240196,-0.3444004
MSH6,-0.21759605,-0.30628586,0.5057497
GTF2A2,-0.37780857,0.14493465,0.13469982
GTF2E2,0.06882,0.0057296753,-0.056900024
PACSIN3,-0.1622076,0.07112026,-0.56729984
RBM15B,0.32570982,0.22791195,-0.17379951
HOOK2,-0.33316088,-0.101368904,-1.4266496
SNX11,-0.7068906,-0.35323,0.6622
TIMM22,-0.19295311,0.1959238,0.6106005
NENF,-0.1088438,0.0220747,0.08205032
UBQLN2,-0.024933338,0.08854103,0.7358999
ACAA1,-0.6477208,-0.38156605,1.2414498
ERO1A,-0.4891944,-0.3715706,-0.32835007
HSD17B10,-0.15794086,-0.05018711,-0.29009914
HADH,-0.038532257,0.15748024,-0.66530037
HDAC2,-0.3720894,-0.044524193,-0.6289997
DNTTIP2,-0.050933838,0.22422218,0.0747509
PIK3R4,-0.58533525,0.17146015,0.23874998
HIF1A,-0.16575813,-0.19130611,0.36870003
HK1,-1.8068819,-0.46783257,-1.5048499
ANXA7,-0.29243755,-0.031189919,-0.7362995
HLA-DMA,-0.18288732,-0.3585329,0.3105998
HLA-DRA,0.63063097,0.10323477,-0.21540022
HMGCR,0.6353092,-0.06428051,-0.032050133
HMGCS1,-1.0444078,0.037766457,2.238
HMOX1,0.32437015,0.58701944,0.3453498
HOXA5,-0.2912426,-0.036153316,-1.0149503
HOXA10,-0.63858414,-0.4729414,-1.4754004
APBB2,0.8861375,-0.5331063,0.23519993
HPRT1,-0.7152624,0.8484192,0.09019947
HES1,-0.3005352,0.24310017,-0.5106993
BIRC2,-0.34066963,-0.5020437,1.2960997
DNAJB2,0.7628517,-0.23135185,1.0289001
HSPA1A,0.16685677,-0.26739502,-0.5075002
HSPA4,0.9380522,0.7124214,-0.7305002
HSPA8,-0.55660343,-0.15974236,3.52205
HSPB1,-0.15799332,-0.23156261,0.68489933
BIRC5,-1.0291901,-0.15630436,-0.6595993
HSPD1,-0.07425976,0.025115967,-0.85525084
DNAJB1,-0.68929195,-0.07624149,-0.5194998
ICAM1,0.48887348,0.72371197,0.89869976
ICAM3,-0.6337805,-0.30032587,-0.5956998
ID2,-0.8223758,0.04152584,-0.18799973
IDE,-0.5833254,-0.39716196,-0.23915005
IFNAR1,0.96348095,0.18867064,-0.029550076
APOE,0.16058278,0.32831097,-2.5365
IGF1R,-0.27076483,-0.16599417,0.14639997
IGF2R,0.37491798,-0.0724802,-0.46570015
IGFBP3,0.785409,-0.17910194,0.1074996
IGHMBP2,0.017813683,-0.090988636,0.48744965
APP,0.10028076,0.017316818,-1.2188005
FAS,0.07130098,0.24306822,-0.22454977
IKBKB,0.3219943,0.40893602,-0.43429995
IL1B,1.1231732,-0.8692794,6.5727496
IL4R,0.6215415,0.3676548,0.1703
IL13RA1,1.0156717,-0.2431364,-0.36770058
ILK,-0.23425388,-0.014803886,0.75245
INPP1,-0.14085674,0.22103691,1.1210995
INSIG1,-0.68455505,0.17892456,0.84329987
ITGAE,1.2809496,-0.060542107,-0.91670036
ITGB5,-0.65076923,-0.3774929,-0.97385025
JUN,-0.033254623,0.16244698,1.4145002
TMEM110,0.35128736,-0.01995325,-0.13509989
KCNK1,-0.3199706,-0.4008093,0.86050034
KIF5C,-0.32635593,-0.01833868,-0.22124958
KIT,0.40823317,-0.18829322,-0.10665035
RHOA,-0.62352324,-0.33115673,0.080500126
FAM69A,2.0108223,1.0356607,-0.66139984
KTN1,0.34865093,0.12820339,0.083200455
ACAT2,-0.68814945,-0.012486458,0.41574955
LAMA3,0.48841572,-1.3602915,-0.65665054
ARHGAP1,-0.2499485,-0.010503769,-0.029649734
STMN1,-0.57487106,0.007622719,-0.1388998
LBR,-0.056175232,-0.02107048,-1.1468
LGALS8,0.011480331,0.25677776,-0.14160061
LIG1,-0.73101616,-0.16048908,0.59900045
LIPA,-0.10006809,-0.060435295,-1.4478998
LOXL1,0.09803581,0.07559109,-1.0032997
LRPAP1,-0.18034172,0.037035942,0.011449814
LYN,-0.5352149,0.5728898,0.23495007
SMAD3,0.17437267,0.16321659,0.32009983
MAN2B1,-0.35122776,-0.12812853,0.0013504028
MAT2A,0.050689697,0.09802437,-1.8619995
MBNL1,-0.07474232,-0.1982603,-0.1946001
MCM3,-0.2980194,0.10804558,0.044050217
ME2,-0.50185156,0.025334358,-0.16779995
MEF2C,0.056794167,-0.8901119,-0.04879999
MAP3K4,-0.69483185,-0.00549984,-0.04630041
MEST,0.47287464,0.5719433,-1.2307997
ASAH1,0.4059267,-0.17755699,-0.07679987
MIF,-0.1712637,-0.16135406,-0.8614001
FOXO4,0.32340193,-0.4046011,-0.14194965
MMP1,-0.119469166,0.82847404,1.6443996
MMP2,1.5792551,0.67992926,-0.33539963
MNAT1,-0.45752716,-0.07333994,0.30175018
MSRA,-0.22824287,0.24225521,0.69369984
MUC1,-0.06257391,0.038206577,-0.38080025
MYBL2,0.10876179,0.030376434,0.7227001
MYC,0.41665077,0.41233253,0.41399956
GADD45B,-1.1357241,-0.16803837,1.7931004
MYLK,0.4893453,0.19457912,0.24539995
MYO10,-0.3921709,-0.17285442,-0.17210007
ATF1,-0.23368359,-0.011320591,0.015250206
NCK1,-0.38580894,-0.46287346,0.6713004
ACLY,-0.736825,0.004878998,-0.28479958
NFATC3,0.6720829,0.5828266,-0.21174955
NFATC4,1.3456349,0.18394518,-4.5054994
NFE2L2,0.6804714,0.28599834,0.44279957
NFIL3,0.29828262,-0.028892517,1.3917999
NFKB2,0.0518322,0.0947268,0.7616
NFKBIA,-0.10392475,-0.04429245,1.9243002
NFKBIB,-0.45388174,0.1850586,1.2276497
NFKBIE,0.34553576,-0.028588295,0.17439985
ATP1B1,0.13505745,-0.12904835,0.35690022
NIT1,1.2473078,0.5367594,-0.6496
NMT1,0.0784893,0.056962013,-0.44990015
NOS3,0.40719128,0.31016493,-0.020050049
CNOT4,-0.31252193,-0.16814089,1.7681999
NOTCH1,0.031411648,-0.15036583,0.1875
PNP,-1.1531,0.20240402,1.7629995
NPC1,0.34153652,0.04623413,2.7461004
SLC11A2,-0.49070787,-0.10017967,-0.5233002
NRAS,0.3449812,0.05762291,0.06304979
NUCB2,-0.03655243,-0.23418045,0.32409954
NUP88,0.05567932,0.060708046,-0.38309956
NVL,1.0448494,-0.14922619,-1.2726002
ORC1,1.6136351,0.52657604,0.035500526
ALDH7A1,0.34563923,-0.36174965,-1.0409508
OXA1L,0.18481445,-0.09484863,-0.43040085
OXCT1,-0.29873848,0.15994644,0.3382988
PAFAH1B1,1.1290874,0.65587807,-1.2139006
PAFAH1B3,-0.7148652,-0.22664261,-0.66500044
SERPINE1,0.24054003,0.23740673,0.8558998
PAK1,-0.4245491,0.0064935684,0.31215
HDGFRP3,-0.09160137,-0.09617901,1.2023001
COPS7A,0.8672056,-0.04132843,-0.7315998
NSDHL,0.080200195,0.14860249,-0.28950024
HEBP1,-0.48669243,-0.010812759,-0.39209938
PCBD1,-0.05510807,-0.10161495,-0.59170055
PCCB,-0.24093151,-0.6062851,-0.8032999
MTERF3,-0.34711266,0.082930565,0.35060024
AMDHD2,-0.18583012,-0.010783672,0.31035042
ISOC1,0.13341713,0.3279724,0.16244984
MRPS16,-0.10251427,0.03369999,0.19560051
FIS1,-0.04851055,-0.49662971,-0.2571001
GOLT1B,-0.1483469,0.24525452,0.7177
GLOD4,-0.2537346,-0.08253956,-0.3218994
GMNN,0.30862045,0.21478367,0.56449986
LAP3,0.07286739,0.6153259,5.3372
PCK2,1.8105278,0.38048935,-0.023550034
NOSIP,-0.7839651,-0.07023811,0.09389973
DERA,-0.42717552,-0.24045277,-0.7599001
PCM1,-0.64519787,-0.46121645,0.8442497
SCCPDH,-0.085437775,0.1780901,0.34930038
PCMT1,-0.5324831,0.017128944,-0.50610065
PCNA,-0.62709713,0.5495281,-0.1807003
MRPS2,-0.32324123,0.084070206,-0.031499863
VPS28,-0.27189493,-0.36842918,-0.15810013
HSD17B11,0.045677185,-0.07290077,-0.75339985
NUSAP1,-0.2686224,0.11720848,0.7742996
SCAND1,-0.056687355,0.381361,0.9240494
CD320,-0.4038124,-0.1393671,-0.09569931
NGRN,0.23224068,-0.4464693,0.13049984
SNX7,0.3687706,0.17276192,-1.3782501
ATP6V1D,-0.46478462,-0.084970474,0.86380005
ZNF589,-0.0037593842,0.28397846,0.21679974
PRKAG2,-0.22827911,-0.0678463,0.42640018
UBE2J1,0.6977949,0.42851067,-0.50110054
EVL,-0.85308456,-0.14275408,0.2686
HACD3,0.14477062,0.19943142,-0.41679955
PDGFA,-0.36575603,0.105902195,0.8312001
UFM1,-0.18488503,-0.102207184,0.8109007
LSR,-0.1904459,-0.24384975,-0.46654987
DHRS7,-0.5679779,-0.16948128,-0.99870014
CAB39,-0.19007492,-0.33816338,1.0357008
ARID4B,-0.0006656647,-1.3349767,0.9410505
PFKL,-0.04767704,-0.08879852,0.45375013
PGAM1,-0.68381786,0.079836845,-1.3661003
PGM1,-0.6216421,-0.14844227,-0.6982002
PHKA1,0.16201067,-0.20741034,-0.53195095
PHKB,-0.025378227,-0.039138794,-1.0322003
PHKG2,0.44081736,0.009653568,0.77450037
PIK3C2B,0.08628893,-0.8428068,-2.0319505
PIK3C3,-0.02836132,-0.040204525,-0.032549858
PIK3CA,1.0591869,0.45972538,-0.4829998
PIN1,-0.3069191,-0.19383526,-0.7761507
PLA2G4A,1.667078,0.9511061,0.6559
ATP6V0B,-0.37710047,0.21130037,0.30949974
PLCB3,-0.40382862,-0.13557434,1.1111999
NUDT9,0.12401867,0.2473383,0.6201496
PLK1,-2.2906666,-1.2814207,-0.020800114
PLP2,0.7642956,-0.0093250275,-0.5838003
PLS1,-0.06744194,-0.52482224,-1.3134995
PLSCR1,0.26089668,0.14235115,-0.093099594
PMAIP1,0.7568097,0.281353,2.1156998
PMM2,1.2968044,0.4506073,-2.0774994
CYCS,-0.2943926,-0.043744087,1.5924997
POLB,-1.0297089,-0.07639313,0.3477497
POLE2,-1.1550369,-0.2255354,-0.20079994
POLR2I,-0.2633915,0.02003479,-0.09089947
TERF2IP,0.4121828,-0.013890266,0.6036005
POLR2K,-0.30168533,0.068092346,0.026499748
GFOD1,-0.48447037,-0.3636241,0.05660057
KCTD5,-0.036458015,-0.025744915,0.8260999
TMCO1,-0.4694252,0.019841194,-0.3359003
DHX29,-0.40489483,-0.18329334,-1.0281005
EXOSC4,-1.172503,-0.50812054,-0.8369994
DDIT4,2.506031,0.2207346,-0.3427
PAF1,0.5821657,0.33460426,-0.29199982
PPARD,0.06409311,0.14512825,0.40269995
PPARG,-0.43060303,0.3133583,-0.46990013
